
                                               d  i  s  p  l  a  c  e  m  e  n  t  s
                                        ..................................................




                            ****************************************************************************
                            *      *              *              **      *              *              *
                            * node *      ux      *      uy      ** node *      ux      *      uy      *
                            *      *              *              **      *              *              *
                            ****************************************************************************
                            *    1 *       0.0000 *       0.0000 **    2 *       0.0000 *       0.0000 *
                            *    3 *       0.0000 *       0.0000 **    4 *       0.0000 *       0.0000 *
                            *    5 *       0.0000 *       0.0000 **    6 *       0.0000 *       0.0000 *
                            *    7 *       0.0000 *       0.0000 **    8 *       0.0000 *       0.0000 *
                            *    9 *       0.0000 *       0.0000 **   10 *       0.0000 *       0.0000 *
                            *   11 *       0.0000 *       0.0000 **   12 *     -16.3864 *      -9.8324 *
                            *   13 *     -12.2275 *      -8.6642 **   14 *      -8.7647 *      -7.8718 *
                            *   15 *      -5.6879 *      -7.3717 **   16 *      -2.8220 *      -7.1046 *
                            *   17 *      -0.0495 *      -7.0371 **   18 *       2.7275 *      -7.1605 *
                            *   19 *       5.6129 *      -7.4929 **   20 *       8.7490 *      -8.0842 *
                            *   21 *      12.3766 *      -9.0309 **   22 *      16.9781 *     -10.5053 *
                            *   23 *     -30.3906 *     -25.2829 **   24 *     -23.4122 *     -24.1533 *
                            *   25 *     -17.0571 *     -23.3075 **   26 *     -11.1452 *     -22.7368 *
                            *   27 *      -5.5107 *     -22.4280 **   28 *      -0.0037 *     -22.3723 *
                            *   29 *       5.5183 *     -22.5701 **   30 *      11.2014 *     -23.0317 *
                            *   31 *      17.2032 *     -23.7733 **   32 *      23.6875 *     -24.8030 *
                            *   33 *      30.7655 *     -26.0778 **   34 *     -42.3829 *     -46.8065 *
                            *   35 *     -33.0540 *     -45.8351 **   36 *     -24.2854 *     -45.0921 *
                            *   37 *     -15.9364 *     -44.5837 **   38 *      -7.8620 *     -44.3122 *
                            *   39 *       0.0818 *     -44.2780 **   40 *       8.0372 *     -44.4816 *
                            *   41 *      16.1442 *     -44.9225 **   42 *      24.5387 *     -45.5969 *
                            *   43 *      33.3478 *     -46.4948 **   44 *      42.6934 *     -47.6059 *
                            *   45 *     -52.4866 *     -73.6780 **   46 *     -41.1735 *     -72.8716 *
                            *   47 *     -30.3837 *     -72.2540 **   48 *     -19.9872 *     -71.8321 *
                            *   49 *      -9.8516 *     -71.6104 **   50 *       0.1561 *     -71.5910 *
                            *   51 *      10.1682 *     -71.7737 **   52 *      20.3150 *     -72.1560 *
                            *   53 *      30.7238 *     -72.7333 **   54 *      41.5203 *     -73.4999 *
                            *   55 *      52.8285 *     -74.4501 **   56 *     -60.7886 *    -105.0186 *
                            *   57 *     -47.8456 *    -104.3699 **   58 *     -35.3974 *    -103.8741 *
                            *   59 *     -23.3208 *    -103.5378 **   60 *     -11.4918 *    -103.3651 *
                            *   61 *       0.2138 *    -103.3585 **   62 *      11.9199 *    -103.5179 *
                            *   63 *      23.7499 *    -103.8419 **   64 *      35.8260 *    -104.3271 *
                            *   65 *      48.2702 *    -104.9691 **   66 *      61.2040 *    -105.7624 *
                            *   67 *     -67.3780 *    -139.9573 **   68 *     -53.1460 *    -139.4577 *
