

                                               d  i  s  p  l  a  c  e  m  e  n  t  s
                                        ..................................................




                            ****************************************************************************
                            *      *              *              **      *              *              *
                            * node *      ux      *      uy      ** node *      ux      *      uy      *
                            *      *              *              **      *              *              *
                            ****************************************************************************
                            *    1 *       0.0000 *       0.0000 **    2 *       0.0000 *       0.0000 *
                            *    3 *       0.0000 *       0.0000 **    4 *       0.0000 *       0.0000 *
                            *    5 *       0.0000 *       0.0000 **    6 *       0.0000 *       0.0000 *
                            *    7 *       0.0000 *       0.0000 **    8 *       0.0000 *       0.0000 *
                            *    9 *       0.0000 *       0.0000 **   10 *       0.0000 *       0.0000 *
                            *   11 *       0.0000 *       0.0000 **   12 *     -18.1088 *     -11.7137 *
                            *   13 *     -12.9548 *      -9.6403 **   14 *      -9.1536 *      -8.3530 *
                            *   15 *      -5.8927 *      -7.5897 **   16 *      -2.8918 *      -7.1951 *
                            *   17 *      -0.0007 *      -7.0922 **   18 *       2.8924 *      -7.2587 *
                            *   19 *       5.8998 *      -7.7205 **   20 *       9.1751 *      -8.5589 *
                            *   21 *      13.0085 *      -9.9357 **   22 *      18.2507 *     -12.1221 *
                            *   23 *     -32.6494 *     -27.6873 **   24 *     -25.2122 *     -26.2597 *
                            *   25 *     -18.2519 *     -25.0346 **   26 *     -11.8547 *     -24.1632 *
                            *   27 *      -5.8235 *     -23.6659 **   28 *       0.0343 *     -23.5341 *
                            *   29 *       5.8953 *     -23.7632 **   30 *      11.9370 *     -24.3595 *
                            *   31 *      18.3528 *     -25.3322 **   32 *      25.3406 *     -26.6591 *
                            *   33 *      32.7954 *     -28.1794 **   34 *     -45.4483 *     -50.4999 *
                            *   35 *     -35.4501 *     -49.2102 **   36 *     -26.0579 *     -48.2283 *
                            *   37 *     -17.0885 *     -47.5213 **   38 *      -8.4255 *     -47.1091 *
                            *   39 *       0.0798 *     -47.0051 **   40 *       8.5874 *     -47.2134 *
                            *   41 *      17.2568 *     -47.7295 **   42 *      26.2352 *     -48.5386 *
                            *   43 *      35.6345 *     -49.6200 **   44 *      45.6369 *     -51.0087 *
                            *   45 *     -56.2682 *     -79.0728 **   46 *     -44.1430 *     -78.0119 *
                            *   47 *     -32.5809 *     -77.1844 **   48 *     -21.4470 *     -76.6064 *
                            *   49 *     -10.5923 *     -76.2779 **   50 *       0.1228 *     -76.2021 *
                            *   51 *      10.8387 *     -76.3806 **   52 *      21.6955 *     -76.8113 *
                            *   53 *      32.8316 *     -77.4906 **   54 *      44.3954 *     -78.4184 *
                            *   55 *      56.5201 *     -79.5788 **   56 *     -65.1655 *    -112.4658 *
                            *   57 *     -51.2919 *    -111.6043 **   58 *     -37.9578 *    -110.9379 *
                            *   59 *     -25.0267 *    -110.4710 **   60 *     -12.3651 *    -110.2097 *
                            *   61 *       0.1623 *    -110.1561 **   62 *      12.6899 *    -110.3108 *
                            *   63 *      25.3517 *    -110.6729 **   64 *      38.2831 *    -111.2402 *
                            *   65 *      51.6171 *    -112.0067 **   66 *      65.4899 *    -112.9682 *
                            *   67 *     -72.2313 *    -149.7218 **   68 *     -56.9775 *    -149.0538 *
